x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
12.69753,-47.2512,8.829,0,-2.801
12.69753,-47.2512,8.82,0,-2.8
12.69653,-47.2522,8.825,0,-2.799
12.69653,-47.2522,8.834,-0.002,-2.803
12.69653,-47.2522,8.834,0,-2.799
12.69653,-47.2522,8.834,0,-2.799
12.69853,-47.2532,8.839,0,-2.799
12.69853,-47.2582,8.947,-0.007,-2.8
12.69753,-47.2612,8.968,-0.002,-2.8
12.69653,-47.2652,8.988,-0.003,-2.799
12.69653,-47.2692,8.999,-0.002,-2.803
12.69453,-47.2762,9.06,-0.005,-2.797
12.69353,-47.2792,9.09,-0.002,-2.8
12.68753,-47.2782,9.09,0.002,-2.795
12.67853,-47.2752,9.09,0,-2.804
