x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-389.397,-380.733,-14.007,1.028,-11.422
-389.392,-380.735,-14.082,1.015,-11.422
-389.388,-380.736,-14.15,1.04,-11.424
-389.38,-380.736,-14.19,1.038,-11.424
-389.367,-380.737,-14.434,1.013,-11.424
-389.355,-380.734,-14.569,1.022,-11.424
-389.324,-380.733,-14.733,1.053,-11.425
-389.305,-380.736,-14.735,0.954,-11.425
-389.3,-380.736,-14.787,0.982,-11.426
-389.298,-380.738,-14.862,1.007,-11.426
-389.289,-380.741,-15.074,1.024,-11.428
-389.262,-380.74,-15.364,1.046,-11.428
-389.255,-380.739,-15.437,0.906,-11.428
-389.238,-380.741,-15.7,0.974,-11.429
-389.232,-380.741,-15.797,0.999,-11.43
-389.223,-380.743,-15.913,0.94,-11.43
-389.213,-380.744,-16.073,0.91,-11.431
-389.188,-380.74,-16.435,0.906,-11.431
-389.184,-380.74,-16.446,0.89,-11.431
-389.183,-380.742,-16.494,0.914,-11.432
-389.181,-380.742,-16.59,0.96,-11.432
-389.175,-380.745,-16.758,0.964,-11.432
-389.172,-380.745,-16.827,0.922,-11.432
-389.157,-380.745,-17.089,1.014,-11.432
-389.137,-380.746,-17.108,1.026,-11.433
-389.113,-380.749,-17.105,1.018,-11.433
-389.093,-380.752,-17.2,1.056,-11.433
-389.076,-380.753,-17.288,1.05,-11.433
-389.032,-380.759,-17.477,1.124,-11.433
-388.999,-380.764,-17.545,1.131,-11.433
-388.962,-380.772,-17.531,1.163,-11.433
-388.951,-380.775,-17.516,1.191,-11.433
-388.934,-380.781,-17.476,1.207,-11.432
-388.923,-380.785,-17.399,1.265,-11.431
-388.907,-380.791,-17.176,1.272,-11.43
-388.9,-380.791,-17.021,1.533,-11.429
-388.896,-380.792,-16.668,1.539,-11.428
-388.895,-380.797,-16.311,1.449,-11.428
-388.89,-380.804,-15.973,1.423,-11.428
-388.885,-380.802,-15.954,1.54,-11.428
-388.876,-380.801,-15.8,1.435,-11.427
-388.867,-380.804,-15.757,1.419,-11.427
-388.86,-380.805,-15.638,1.473,-11.427
-388.858,-380.808,-15.571,1.451,-11.427
-388.85,-380.809,-15.481,1.474,-11.427
-388.844,-380.809,-15.395,1.483,-11.426
-388.84,-380.805,-15.268,1.458,-11.426
-388.837,-380.802,-15.209,1.495,-11.426
-388.822,-380.802,-15.152,1.499,-11.426
-388.81,-380.801,-15.107,1.555,-11.426
-388.797,-380.798,-14.991,1.475,-11.425
-388.79,-380.799,-14.958,1.468,-11.425
-388.78,-380.799,-14.884,1.571,-11.424
-388.759,-380.795,-14.712,1.469,-11.424
-388.744,-380.789,-14.464,1.495,-11.424
-388.731,-380.79,-14.414,1.623,-11.424
-388.687,-380.79,-14.285,1.579,-11.423
-388.658,-380.794,-14.272,1.574,-11.423
-388.629,-380.8,-14.139,1.676,-11.423
-388.604,-380.808,-13.968,1.609,-11.422
-388.569,-380.816,-13.808,1.836,-11.422
-388.522,-380.818,-13.583,1.67,-11.421
-388.491,-380.82,-13.408,1.769,-11.42
-388.452,-380.823,-12.927,1.634,-11.42
-388.418,-380.829,-12.657,1.63,-11.42
-388.377,-380.835,-12.502,1.738,-11.42
-388.36,-380.835,-12.508,1.825,-11.42
-388.338,-380.839,-12.391,1.791,-11.42
-388.326,-380.845,-12.331,1.763,-11.42
-388.315,-380.846,-12.32,1.737,-11.42
-388.304,-380.847,-12.355,1.73,-11.421
-388.282,-380.848,-12.396,1.709,-11.421
-388.26,-380.849,-12.364,1.684,-11.421
-388.241,-380.852,-12.342,1.643,-11.421
-388.218,-380.855,-12.316,1.661,-11.421
-388.207,-380.857,-12.3,1.661,-11.421
-388.175,-380.861,-12.263,1.646,-11.422
-388.14,-380.863,-12.277,1.597,-11.422
-388.118,-380.865,-12.353,1.568,-11.422
